epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.973,1.11283,3.66943,0.86731,0.07827,0.18971,0.06788,0.05467,0.73807,2.75875,0.81472,5.95985e-05,5.95985e-05,5.95985e-05
2,402.445,0.94025,2.7778,0.84987,0.23714,0.48542,0.26913,0.22452,0.64818,2.01411,0.80628,0.000114542,0.000114542,0.000114542
3,585.515,0.84792,2.22185,0.83985,0.4787,0.60415,0.53718,0.45316,0.62358,1.51767,0.80297,0.00016476,0.00016476,0.00016476
4,767.189,0.79065,1.79992,0.83221,0.58277,0.70013,0.69479,0.59213,0.59208,1.20036,0.80024,0.000157735,0.000157735,0.000157735
5,947.314,0.75604,1.51032,0.82744,0.70669,0.79583,0.80051,0.69156,0.55641,0.93739,0.79638,0.000150646,0.000150646,0.000150646
6,1128.15,0.7245,1.32051,0.82474,0.77412,0.8252,0.86909,0.75436,0.54245,0.80539,0.79566,0.000143558,0.000143558,0.000143558
7,1305.52,0.69979,1.1855,0.8205,0.79973,0.85489,0.88839,0.77352,0.53667,0.73566,0.79379,0.00013647,0.00013647,0.00013647
8,1481.51,0.68124,1.08981,0.81821,0.83816,0.87803,0.92025,0.80452,0.52634,0.65185,0.79296,0.000129381,0.000129381,0.000129381
9,1658.37,0.66879,1.03317,0.81628,0.84427,0.89756,0.92883,0.82002,0.50447,0.61943,0.78972,0.000122293,0.000122293,0.000122293
10,1830.95,0.65583,0.96684,0.8138,0.86867,0.89772,0.94187,0.83351,0.49642,0.58553,0.78855,0.000115204,0.000115204,0.000115204
11,2007.69,0.64179,0.91849,0.81073,0.87375,0.90169,0.94599,0.84092,0.48594,0.55792,0.78729,0.000108116,0.000108116,0.000108116
12,2182.39,0.63095,0.87972,0.80975,0.88715,0.92297,0.95518,0.85437,0.47267,0.51957,0.78575,0.000101028,0.000101028,0.000101028
13,2355.76,0.62496,0.8487,0.80913,0.89387,0.92853,0.96095,0.85331,0.49226,0.50765,0.78712,9.39392e-05,9.39392e-05,9.39392e-05
14,2525.66,0.61564,0.81367,0.80841,0.91281,0.92372,0.9651,0.85742,0.48688,0.48871,0.78665,8.68508e-05,8.68508e-05,8.68508e-05
15,2693.28,0.60825,0.78853,0.80782,0.89799,0.93669,0.96463,0.86302,0.46916,0.47708,0.7847,7.97624e-05,7.97624e-05,7.97624e-05
16,2855.34,0.53047,0.62206,0.79688,0.90909,0.93795,0.96873,0.86552,0.47735,0.46329,0.78486,7.2674e-05,7.2674e-05,7.2674e-05
17,3014.62,0.51813,0.58913,0.79579,0.91508,0.94543,0.97265,0.87281,0.46357,0.44289,0.78357,6.55856e-05,6.55856e-05,6.55856e-05
18,3176.6,0.51047,0.56856,0.79545,0.90993,0.94084,0.97041,0.8747,0.45136,0.43762,0.7826,5.84972e-05,5.84972e-05,5.84972e-05
19,3334.41,0.50074,0.54984,0.79351,0.91084,0.95151,0.96974,0.87263,0.45615,0.43175,0.78271,5.14088e-05,5.14088e-05,5.14088e-05
20,3494.58,0.49804,0.5382,0.79384,0.91142,0.94989,0.97048,0.87496,0.45121,0.42451,0.78172,4.43204e-05,4.43204e-05,4.43204e-05
21,3654.79,0.49199,0.52611,0.79296,0.92468,0.95259,0.97504,0.87893,0.45292,0.41114,0.78206,3.7232e-05,3.7232e-05,3.7232e-05
22,3812.71,0.48652,0.51413,0.7901,0.93149,0.95058,0.97691,0.88368,0.44337,0.40272,0.7812,3.01436e-05,3.01436e-05,3.01436e-05
23,3973.28,0.48455,0.50899,0.79088,0.92199,0.9508,0.97466,0.88189,0.44435,0.40438,0.7811,2.30552e-05,2.30552e-05,2.30552e-05
24,4132.33,0.47885,0.50073,0.7911,0.9247,0.9554,0.97622,0.88463,0.44072,0.3989,0.78068,1.59668e-05,1.59668e-05,1.59668e-05
25,4292.26,0.47714,0.49399,0.79116,0.92612,0.9515,0.97573,0.88431,0.43999,0.3975,0.78067,8.8784e-06,8.8784e-06,8.8784e-06
